id,home_team,away_team,win,loss,game_number,date,year
Baltimore Bullets (Original),Washington Capitols,Baltimore Bullets (Original),0,1,1,-698612400.0,1948
Baltimore Bullets (Original),Baltimore Bullets (Original),Boston Celtics,1,1,2,-698526000.0,1948
Baltimore Bullets (Original),Chicago Stags,Baltimore Bullets (Original),2,1,3,-698353200.0,1948
Baltimore Bullets (Original),Baltimore Bullets (Original),New York Knicks,3,1,4,-697921200.0,1948
Baltimore Bullets (Original),Boston Celtics,Baltimore Bullets (Original),4,1,5,-697834800.0,1948
Baltimore Bullets (Original),Baltimore Bullets (Original),Chicago Stags,5,1,6,-697748400.0,1948
Baltimore Bullets (Original),Providence Steamrollers,Baltimore Bullets (Original),6,1,7,-697316400.0,1948
Baltimore Bullets (Original),St. Louis Bombers,Baltimore Bullets (Original),7,1,8,-697143600.0,1948
Baltimore Bullets (Original),Boston Celtics,Baltimore Bullets (Original),8,1,9,-696884400.0,1948
Baltimore Bullets (Original),Philadelphia Warriors,Baltimore Bullets (Original),9,1,10,-696798000.0,1948
Baltimore Bullets (Original),Baltimore Bullets (Original),St. Louis Bombers,9,2,11,-696711600.0,1948
Baltimore Bullets (Original),Chicago Stags,Baltimore Bullets (Original),9,3,12,-696538800.0,1948
Baltimore Bullets (Original),Baltimore Bullets (Original),Washington Capitols,9,4,13,-696106800.0,1948
Baltimore Bullets (Original),Baltimore Bullets (Original),New York Knicks,9,5,14,-695934000.0,1948
Baltimore Bullets (Original),Washington Capitols,Baltimore Bullets (Original),9,6,15,-695588400.0,1948
Baltimore Bullets (Original),Baltimore Bullets (Original),St. Louis Bombers,10,6,16,-695502000.0,1948
Baltimore Bullets (Original),Chicago Stags,Baltimore Bullets (Original),10,7,17,-695242800.0,1948
Baltimore Bullets (Original),Baltimore Bullets (Original),Chicago Stags,11,7,18,-694897200.0,1948
Baltimore Bullets (Original),St. Louis Bombers,Baltimore Bullets (Original),11,8,19,-694638000.0,1948
Baltimore Bullets (Original),Baltimore Bullets (Original),Philadelphia Warriors,11,9,20,-694292400.0,1948
Baltimore Bullets (Original),New York Knicks,Baltimore Bullets (Original),12,9,21,-694119600.0,1948
Baltimore Bullets (Original),Baltimore Bullets (Original),Providence Steamrollers,13,9,22,-693860400.0,1948
Baltimore Bullets (Original),Baltimore Bullets (Original),Chicago Stags,14,9,23,-693687600.0,1948
Baltimore Bullets (Original),St. Louis Bombers,Baltimore Bullets (Original),14,10,24,-693428400.0,1948
Baltimore Bullets (Original),Providence Steamrollers,Baltimore Bullets (Original),15,10,25,-693082800.0,1948
Baltimore Bullets (Original),Philadelphia Warriors,Baltimore Bullets (Original),15,11,26,-692996400.0,1948
Baltimore Bullets (Original),Baltimore Bullets (Original),Philadelphia Warriors,15,12,27,-692910000.0,1948
Baltimore Bullets (Original),Baltimore Bullets (Original),St. Louis Bombers,15,13,28,-692478000.0,1948
Baltimore Bullets (Original),New York Knicks,Baltimore Bullets (Original),16,13,29,-692305200.0,1948
Baltimore Bullets (Original),Chicago Stags,Baltimore Bullets (Original),16,14,30,-692046000.0,1948
