id,home_team,away_team,win,loss,game_number,date,year
Atlanta Dream,New York Liberty,Atlanta Dream,0,1,1,1433476800.0,2015
Atlanta Dream,Atlanta Dream,Connecticut Sun,0,2,2,1433649600.0,2015
Atlanta Dream,Atlanta Dream,San Antonio Silver Stars,1,2,3,1433995200.0,2015
Atlanta Dream,Washington Mystics,Atlanta Dream,2,2,4,1434081600.0,2015
Atlanta Dream,Connecticut Sun,Atlanta Dream,2,3,5,1434254400.0,2015
Atlanta Dream,Atlanta Dream,Indiana Fever,2,4,6,1434427200.0,2015
Atlanta Dream,Atlanta Dream,Chicago Sky,3,4,7,1434686400.0,2015
Atlanta Dream,Atlanta Dream,New York Liberty,3,5,8,1434859200.0,2015
Atlanta Dream,Chicago Sky,Atlanta Dream,3,6,9,1435118400.0,2015
Atlanta Dream,Atlanta Dream,Washington Mystics,4,6,10,1435291200.0,2015
Atlanta Dream,Atlanta Dream,Seattle Storm,5,6,11,1436068800.0,2015
Atlanta Dream,Atlanta Dream,Tulsa Shock,5,7,12,1436241600.0,2015
Atlanta Dream,Atlanta Dream,New York Liberty,6,7,13,1436673600.0,2015
Atlanta Dream,Phoenix Mercury,Atlanta Dream,6,8,14,1436846400.0,2015
Atlanta Dream,Los Angeles Sparks,Atlanta Dream,7,8,15,1437019200.0,2015
Atlanta Dream,Seattle Storm,Atlanta Dream,7,9,16,1437192000.0,2015
Atlanta Dream,Chicago Sky,Atlanta Dream,7,10,17,1437451200.0,2015
Atlanta Dream,San Antonio Silver Stars,Atlanta Dream,7,11,18,1438142400.0,2015
Atlanta Dream,Minnesota Lynx,Atlanta Dream,7,12,19,1438315200.0,2015
Atlanta Dream,Atlanta Dream,Phoenix Mercury,7,13,20,1438488000.0,2015
Atlanta Dream,Indiana Fever,Atlanta Dream,7,14,21,1438920000.0,2015
Atlanta Dream,Tulsa Shock,Atlanta Dream,8,14,22,1439092800.0,2015
Atlanta Dream,Atlanta Dream,Minnesota Lynx,8,15,23,1439524800.0,2015
Atlanta Dream,Atlanta Dream,Connecticut Sun,9,15,24,1439697600.0,2015
Atlanta Dream,New York Liberty,Atlanta Dream,9,16,25,1440129600.0,2015
Atlanta Dream,Connecticut Sun,Atlanta Dream,10,16,26,1440302400.0,2015
Atlanta Dream,Atlanta Dream,Connecticut Sun,11,16,27,1440475200.0,2015
