id,home_team,away_team,win,loss,game_number,date,year
Baltimore Bullets (Original),Baltimore Bullets (Original),Rochester Royals,0,1,1,-510260400.0,1954
Baltimore Bullets (Original),Baltimore Bullets (Original),Rochester Royals,0,2,2,-510174000.0,1954
Baltimore Bullets (Original),Baltimore Bullets (Original),Minneapolis Lakers,0,3,3,-509914800.0,1954
Baltimore Bullets (Original),Baltimore Bullets (Original),Syracuse Nationals,0,4,4,-509655600.0,1954
Baltimore Bullets (Original),Baltimore Bullets (Original),Philadelphia Warriors,0,5,5,-509569200.0,1954
Baltimore Bullets (Original),Baltimore Bullets (Original),New York Knicks,1,5,6,-509050800.0,1954
Baltimore Bullets (Original),New York Knicks,Baltimore Bullets (Original),1,6,7,-508964400.0,1954
Baltimore Bullets (Original),Baltimore Bullets (Original),Milwaukee Hawks,2,6,8,-508705200.0,1954
Baltimore Bullets (Original),Baltimore Bullets (Original),New York Knicks,2,7,9,-508618800.0,1954
Baltimore Bullets (Original),Baltimore Bullets (Original),Philadelphia Warriors,2,8,10,-508446000.0,1954
Baltimore Bullets (Original),Philadelphia Warriors,Baltimore Bullets (Original),2,9,11,-508186800.0,1954
Baltimore Bullets (Original),Baltimore Bullets (Original),Syracuse Nationals,3,9,12,-508100400.0,1954
Baltimore Bullets (Original),Baltimore Bullets (Original),Rochester Royals,3,10,13,-508014000.0,1954
Baltimore Bullets (Original),Baltimore Bullets (Original),Fort Wayne Pistons,3,11,14,-507841200.0,1954
Baltimore Bullets (Original),Syracuse Nationals,Baltimore Bullets (Original),3,12,15,-507754800.0,1954
Baltimore Bullets (Original),Rochester Royals,Baltimore Bullets (Original),3,13,16,-507236400.0,1954
Baltimore Bullets (Original),Baltimore Bullets (Original),Boston Celtics,3,14,17,-507150000.0,1954
Baltimore Bullets (Original),Baltimore Bullets (Original),Syracuse Nationals,4,14,18,-506890800.0,1954
Baltimore Bullets (Original),Baltimore Bullets (Original),Philadelphia Warriors,4,15,19,-506804400.0,1954
Baltimore Bullets (Original),Boston Celtics,Baltimore Bullets (Original),4,16,20,-506631600.0,1954
