id,home_team,away_team,win,loss,game_number,date,year
Baltimore Bullets,Baltimore Bullets,San Francisco Warriors,1,0,1,-164318400.0,1965
Baltimore Bullets,Baltimore Bullets,Los Angeles Lakers,1,1,2,-163972800.0,1965
Baltimore Bullets,Philadelphia 76ers,Baltimore Bullets,2,1,3,-163886400.0,1965
Baltimore Bullets,Boston Celtics,Baltimore Bullets,2,2,4,-163713600.0,1965
Baltimore Bullets,Baltimore Bullets,Boston Celtics,2,3,5,-163627200.0,1965
Baltimore Bullets,San Francisco Warriors,Baltimore Bullets,2,4,6,-163450800.0,1965
Baltimore Bullets,Los Angeles Lakers,Baltimore Bullets,2,5,7,-163364400.0,1965
Baltimore Bullets,Los Angeles Lakers,Baltimore Bullets,3,5,8,-163278000.0,1965
Baltimore Bullets,San Francisco Warriors,Baltimore Bullets,4,5,9,-163105200.0,1965
Baltimore Bullets,Detroit Pistons,Baltimore Bullets,5,5,10,-162759600.0,1965
Baltimore Bullets,Cincinnati Royals,Baltimore Bullets,6,5,11,-162586800.0,1965
Baltimore Bullets,St. Louis Hawks,Baltimore Bullets,6,6,12,-162500400.0,1965
Baltimore Bullets,Baltimore Bullets,Detroit Pistons,6,7,13,-162241200.0,1965
Baltimore Bullets,Baltimore Bullets,Philadelphia 76ers,6,8,14,-162154800.0,1965
Baltimore Bullets,Baltimore Bullets,Los Angeles Lakers,7,8,15,-161895600.0,1965
Baltimore Bullets,Baltimore Bullets,Boston Celtics,8,8,16,-161636400.0,1965
Baltimore Bullets,Baltimore Bullets,Detroit Pistons,8,9,17,-161377200.0,1965
Baltimore Bullets,New York Knicks,Baltimore Bullets,8,10,18,-161290800.0,1965
Baltimore Bullets,St. Louis Hawks,Baltimore Bullets,9,10,19,-161031600.0,1965
Baltimore Bullets,Baltimore Bullets,Cincinnati Royals,10,10,20,-160945200.0,1965
Baltimore Bullets,Los Angeles Lakers,Baltimore Bullets,10,11,21,-160599600.0,1965
Baltimore Bullets,San Francisco Warriors,Baltimore Bullets,10,12,22,-160426800.0,1965
Baltimore Bullets,Baltimore Bullets,San Francisco Warriors,11,12,23,-160340400.0,1965
Baltimore Bullets,Baltimore Bullets,St. Louis Hawks,12,12,24,-160167600.0,1965
Baltimore Bullets,Baltimore Bullets,Philadelphia 76ers,12,13,25,-160081200.0,1965
Baltimore Bullets,Baltimore Bullets,Cincinnati Royals,12,14,26,-159994800.0,1965
Baltimore Bullets,Baltimore Bullets,Philadelphia 76ers,12,15,27,-159822000.0,1965
Baltimore Bullets,Baltimore Bullets,New York Knicks,12,16,28,-159735600.0,1965
Baltimore Bullets,Boston Celtics,Baltimore Bullets,12,17,29,-159476400.0,1965
Baltimore Bullets,Baltimore Bullets,Philadelphia 76ers,13,17,30,-159130800.0,1965
Baltimore Bullets,Baltimore Bullets,Detroit Pistons,14,17,31,-158871600.0,1965
Baltimore Bullets,New York Knicks,Baltimore Bullets,15,17,32,-158353200.0,1965
Baltimore Bullets,Baltimore Bullets,New York Knicks,15,18,33,-158266800.0,1965
Baltimore Bullets,Baltimore Bullets,Cincinnati Royals,16,18,34,-158180400.0,1965
Baltimore Bullets,Baltimore Bullets,Boston Celtics,16,19,35,-157921200.0,1965
Baltimore Bullets,Baltimore Bullets,Cincinnati Royals,16,20,36,-157748400.0,1965
Baltimore Bullets,Baltimore Bullets,San Francisco Warriors,17,20,37,-157662000.0,1965
Baltimore Bullets,Baltimore Bullets,San Francisco Warriors,18,20,38,-157575600.0,1965
Baltimore Bullets,Detroit Pistons,Baltimore Bullets,19,20,39,-157316400.0,1965
Baltimore Bullets,Baltimore Bullets,Detroit Pistons,20,20,40,-157230000.0,1965
Baltimore Bullets,Baltimore Bullets,Cincinnati Royals,20,21,41,-157057200.0,1965
Baltimore Bullets,Baltimore Bullets,New York Knicks,20,22,42,-156970800.0,1965
Baltimore Bullets,Philadelphia 76ers,Baltimore Bullets,21,22,43,-156625200.0,1965
Baltimore Bullets,Baltimore Bullets,St. Louis Hawks,21,23,44,-156452400.0,1965
Baltimore Bullets,Baltimore Bullets,Boston Celtics,21,24,45,-156106800.0,1965
Baltimore Bullets,St. Louis Hawks,Baltimore Bullets,22,24,46,-155934000.0,1965
Baltimore Bullets,Baltimore Bullets,St. Louis Hawks,23,24,47,-155847600.0,1965
Baltimore Bullets,Baltimore Bullets,St. Louis Hawks,24,24,48,-155761200.0,1965
Baltimore Bullets,Baltimore Bullets,Boston Celtics,24,25,49,-155674800.0,1965
Baltimore Bullets,Detroit Pistons,Baltimore Bullets,24,26,50,-155502000.0,1965
Baltimore Bullets,St. Louis Hawks,Baltimore Bullets,24,27,51,-155329200.0,1965
Baltimore Bullets,Boston Celtics,Baltimore Bullets,25,27,52,-154897200.0,1965
Baltimore Bullets,Baltimore Bullets,San Francisco Warriors,25,28,53,-154724400.0,1965
Baltimore Bullets,Baltimore Bullets,Los Angeles Lakers,26,28,54,-154638000.0,1965
Baltimore Bullets,Detroit Pistons,Baltimore Bullets,26,29,55,-154551600.0,1965
Baltimore Bullets,Baltimore Bullets,St. Louis Hawks,26,30,56,-154206000.0,1965
Baltimore Bullets,St. Louis Hawks,Baltimore Bullets,26,31,57,-154119600.0,1965
Baltimore Bullets,Baltimore Bullets,Detroit Pistons,27,31,58,-154033200.0,1965
Baltimore Bullets,Boston Celtics,Baltimore Bullets,27,32,59,-153946800.0,1965
Baltimore Bullets,Baltimore Bullets,New York Knicks,27,33,60,-153774000.0,1965
Baltimore Bullets,Baltimore Bullets,Cincinnati Royals,28,33,61,-153687600.0,1965
Baltimore Bullets,Baltimore Bullets,Los Angeles Lakers,28,34,62,-153514800.0,1965
Baltimore Bullets,Baltimore Bullets,Philadelphia 76ers,28,35,63,-153342000.0,1965
Baltimore Bullets,Baltimore Bullets,Philadelphia 76ers,28,36,64,-153255600.0,1965
Baltimore Bullets,Baltimore Bullets,Cincinnati Royals,29,36,65,-153169200.0,1965
Baltimore Bullets,Baltimore Bullets,New York Knicks,30,36,66,-153082800.0,1965
Baltimore Bullets,New York Knicks,Baltimore Bullets,30,37,67,-152823600.0,1965
Baltimore Bullets,Baltimore Bullets,San Francisco Warriors,31,37,68,-152737200.0,1965
Baltimore Bullets,Baltimore Bullets,Cincinnati Royals,32,37,69,-152478000.0,1965
Baltimore Bullets,Baltimore Bullets,Boston Celtics,33,37,70,-152305200.0,1965
Baltimore Bullets,Baltimore Bullets,Detroit Pistons,34,37,71,-152132400.0,1965
Baltimore Bullets,San Francisco Warriors,Baltimore Bullets,35,37,72,-152046000.0,1965
Baltimore Bullets,Los Angeles Lakers,Baltimore Bullets,35,38,73,-151959600.0,1965
Baltimore Bullets,Los Angeles Lakers,Baltimore Bullets,35,39,74,-151786800.0,1965
Baltimore Bullets,Baltimore Bullets,New York Knicks,35,40,75,-151614000.0,1965
Baltimore Bullets,Baltimore Bullets,Philadelphia 76ers,36,40,76,-151527600.0,1965
Baltimore Bullets,Baltimore Bullets,Los Angeles Lakers,37,40,77,-151268400.0,1965
Baltimore Bullets,Cincinnati Royals,Baltimore Bullets,37,41,78,-151182000.0,1965
Baltimore Bullets,New York Knicks,Baltimore Bullets,37,42,79,-151009200.0,1965
Baltimore Bullets,Philadelphia 76ers,Baltimore Bullets,37,43,80,-150922800.0,1965
Boston Celtics,Boston Celtics,Detroit Pistons,1,0,1,-164318400.0,1965
Boston Celtics,Boston Celtics,Detroit Pistons,2,0,2,-163886400.0,1965
