id,home_team,away_team,win,loss,game_number,date,year
Atlanta Dream,Dallas Wings,Atlanta Dream,0,1,1,1684555200.0,2023
Atlanta Dream,Minnesota Lynx,Atlanta Dream,1,1,2,1684814400.0,2023
Atlanta Dream,Atlanta Dream,Las Vegas Aces,1,2,3,1685678400.0,2023
Atlanta Dream,Dallas Wings,Atlanta Dream,1,3,4,1687233600.0,2023
Atlanta Dream,Atlanta Dream,New York Liberty,1,4,5,1687492800.0,2023
Atlanta Dream,Atlanta Dream,Los Angeles Sparks,2,4,6,1688270400.0,2023
Atlanta Dream,Los Angeles Sparks,Atlanta Dream,3,4,7,1688529600.0,2023
Atlanta Dream,Chicago Sky,Atlanta Dream,4,4,8,1688875200.0,2023
Atlanta Dream,Atlanta Dream,Seattle Storm,5,4,9,1689134400.0,2023
Atlanta Dream,Atlanta Dream,Minnesota Lynx,6,4,10,1689652800.0,2023
Atlanta Dream,Connecticut Sun,Atlanta Dream,6,5,11,1689825600.0,2023
Atlanta Dream,Atlanta Dream,Connecticut Sun,6,6,12,1689998400.0,2023
Atlanta Dream,Atlanta Dream,Phoenix Mercury,7,6,13,1690257600.0,2023
Atlanta Dream,New York Liberty,Atlanta Dream,7,7,14,1690430400.0,2023
Atlanta Dream,Atlanta Dream,Washington Mystics,8,7,15,1690689600.0,2023
Atlanta Dream,Las Vegas Aces,Atlanta Dream,8,8,16,1690862400.0,2023
Atlanta Dream,Phoenix Mercury,Atlanta Dream,8,9,17,1691035200.0,2023
Atlanta Dream,Atlanta Dream,Indiana Fever,9,9,18,1691294400.0,2023
Atlanta Dream,Seattle Storm,Atlanta Dream,9,10,19,1691640000.0,2023
Atlanta Dream,Los Angeles Sparks,Atlanta Dream,9,11,20,1691812800.0,2023
Atlanta Dream,Las Vegas Aces,Atlanta Dream,9,12,21,1691899200.0,2023
Atlanta Dream,Atlanta Dream,Chicago Sky,10,12,22,1692331200.0,2023
Atlanta Dream,Atlanta Dream,Las Vegas Aces,10,13,23,1692676800.0,2023
Atlanta Dream,Atlanta Dream,Los Angeles Sparks,10,14,24,1692936000.0,2023
Atlanta Dream,Indiana Fever,Atlanta Dream,10,15,25,1693108800.0,2023
Atlanta Dream,Atlanta Dream,Phoenix Mercury,11,15,26,1693281600.0,2023
Atlanta Dream,Minnesota Lynx,Atlanta Dream,11,16,27,1693540800.0,2023
Atlanta Dream,Atlanta Dream,Seattle Storm,12,16,28,1693972800.0,2023
Atlanta Dream,Washington Mystics,Atlanta Dream,13,16,29,1694145600.0,2023
Atlanta Dream,Atlanta Dream,Dallas Wings,13,17,30,1694318400.0,2023
Atlanta Dream,Dallas Wings,Atlanta Dream,13,18,31,1694750400.0,2023
Atlanta Dream,Dallas Wings,Atlanta Dream,13,19,32,1695096000.0,2023
Chicago Sky,Minnesota Lynx,Chicago Sky,1,0,1,1684468800.0,2023
Chicago Sky,Phoenix Mercury,Chicago Sky,2,0,2,1684641600.0,2023
Chicago Sky,Chicago Sky,Dallas Wings,3,0,3,1685246400.0,2023
Chicago Sky,Los Angeles Sparks,Chicago Sky,3,1,4,1686283200.0,2023
Chicago Sky,Las Vegas Aces,Chicago Sky,3,2,5,1686456000.0,2023
Chicago Sky,Chicago Sky,Indiana Fever,3,3,6,1686801600.0,2023
Chicago Sky,Chicago Sky,Washington Mystics,3,4,7,1687406400.0,2023
Chicago Sky,Chicago Sky,Los Angeles Sparks,4,4,8,1687924800.0,2023
Chicago Sky,Chicago Sky,Los Angeles Sparks,5,4,9,1688097600.0,2023
Chicago Sky,Chicago Sky,Atlanta Dream,5,5,10,1688875200.0,2023
Chicago Sky,Phoenix Mercury,Chicago Sky,5,6,11,1689825600.0,2023
Chicago Sky,Seattle Storm,Chicago Sky,6,6,12,1689998400.0,2023
Chicago Sky,Chicago Sky,Las Vegas Aces,6,7,13,1690257600.0,2023
Chicago Sky,Chicago Sky,Seattle Storm,6,8,14,1690516800.0,2023
