id,home_team,away_team,win,loss,game_number,date,year
Atlanta Hawks,Atlanta Hawks,Chicago Bulls,1,0,1,340084800.0,1981
Atlanta Hawks,Atlanta Hawks,Boston Celtics,2,0,2,340344000.0,1981
Atlanta Hawks,Atlanta Hawks,New York Knicks,3,0,3,340603200.0,1981
Atlanta Hawks,Detroit Pistons,Atlanta Hawks,4,0,4,340689600.0,1981
Atlanta Hawks,Atlanta Hawks,Indiana Pacers,4,1,5,340948800.0,1981
Atlanta Hawks,Indiana Pacers,Atlanta Hawks,4,2,6,341208000.0,1981
Atlanta Hawks,Atlanta Hawks,Philadelphia 76ers,4,3,7,341294400.0,1981
Atlanta Hawks,Atlanta Hawks,Kansas City Kings,5,3,8,341557200.0,1981
Atlanta Hawks,New York Knicks,Atlanta Hawks,5,4,9,341730000.0,1981
Atlanta Hawks,Philadelphia 76ers,Atlanta Hawks,5,5,10,341816400.0,1981
Atlanta Hawks,Atlanta Hawks,Milwaukee Bucks,5,6,11,341902800.0,1981
Atlanta Hawks,Washington Bullets,Atlanta Hawks,5,7,12,342162000.0,1981
Atlanta Hawks,Boston Celtics,Atlanta Hawks,5,8,13,342248400.0,1981
Atlanta Hawks,Chicago Bulls,Atlanta Hawks,5,9,14,342421200.0,1981
Atlanta Hawks,New Jersey Nets,Atlanta Hawks,5,10,15,342507600.0,1981
Atlanta Hawks,Atlanta Hawks,Los Angeles Lakers,5,11,16,342766800.0,1981
Atlanta Hawks,Cleveland Cavaliers,Atlanta Hawks,5,12,17,342939600.0,1981
Atlanta Hawks,Atlanta Hawks,Washington Bullets,5,13,18,343112400.0,1981
Atlanta Hawks,Atlanta Hawks,San Antonio Spurs,6,13,19,343371600.0,1981
Atlanta Hawks,Atlanta Hawks,Utah Jazz,7,13,20,343717200.0,1981
Atlanta Hawks,Atlanta Hawks,Portland Trail Blazers,8,13,21,343976400.0,1981
Atlanta Hawks,Indiana Pacers,Atlanta Hawks,8,14,22,344062800.0,1981
Atlanta Hawks,Milwaukee Bucks,Atlanta Hawks,8,15,23,344235600.0,1981
Atlanta Hawks,Atlanta Hawks,Detroit Pistons,8,16,24,344322000.0,1981
Atlanta Hawks,Atlanta Hawks,Philadelphia 76ers,9,16,25,344581200.0,1981
Atlanta Hawks,Boston Celtics,Atlanta Hawks,9,17,26,344667600.0,1981
Atlanta Hawks,Philadelphia 76ers,Atlanta Hawks,9,18,27,344840400.0,1981
Atlanta Hawks,Atlanta Hawks,Dallas Mavericks,10,18,28,344926800.0,1981
Atlanta Hawks,Atlanta Hawks,San Diego Clippers,11,18,29,345186000.0,1981
Atlanta Hawks,Detroit Pistons,Atlanta Hawks,12,18,30,345272400.0,1981
Atlanta Hawks,Atlanta Hawks,Milwaukee Bucks,13,18,31,345531600.0,1981
Atlanta Hawks,Atlanta Hawks,New Jersey Nets,14,18,32,345790800.0,1981
Atlanta Hawks,Utah Jazz,Atlanta Hawks,15,18,33,345963600.0,1981
Atlanta Hawks,Seattle Supersonics,Atlanta Hawks,15,19,34,346050000.0,1981
Atlanta Hawks,Portland Trail Blazers,Atlanta Hawks,15,20,35,346136400.0,1981
Atlanta Hawks,Atlanta Hawks,Washington Bullets,16,20,36,346395600.0,1981
Atlanta Hawks,New Jersey Nets,Atlanta Hawks,17,20,37,346654800.0,1981
Atlanta Hawks,Atlanta Hawks,Boston Celtics,17,21,38,346741200.0,1981
Atlanta Hawks,Atlanta Hawks,Detroit Pistons,18,21,39,347000400.0,1981
Atlanta Hawks,Atlanta Hawks,Indiana Pacers,18,22,40,347259600.0,1981
Atlanta Hawks,New York Knicks,Atlanta Hawks,18,23,41,347346000.0,1981
Atlanta Hawks,Atlanta Hawks,Phoenix Suns,18,24,42,347605200.0,1981
Atlanta Hawks,Milwaukee Bucks,Atlanta Hawks,18,25,43,347778000.0,1981
Atlanta Hawks,Atlanta Hawks,Cleveland Cavaliers,18,26,44,347864400.0,1981
Atlanta Hawks,Denver Nuggets,Atlanta Hawks,18,27,45,348210000.0,1981
Atlanta Hawks,San Diego Clippers,Atlanta Hawks,18,28,46,348296400.0,1981
Atlanta Hawks,Golden State Warriors,Atlanta Hawks,19,28,47,348469200.0,1981
Atlanta Hawks,Phoenix Suns,Atlanta Hawks,19,29,48,348642000.0,1981
Atlanta Hawks,Los Angeles Lakers,Atlanta Hawks,19,30,49,348901200.0,1981
Atlanta Hawks,Atlanta Hawks,Cleveland Cavaliers,19,31,50,349074000.0,1981
Atlanta Hawks,Atlanta Hawks,Chicago Bulls,19,32,51,349160400.0,1981
Atlanta Hawks,Atlanta Hawks,Washington Bullets,19,33,52,349419600.0,1981
Atlanta Hawks,Atlanta Hawks,New York Knicks,19,34,53,349592400.0,1981
Atlanta Hawks,Atlanta Hawks,Philadelphia 76ers,19,35,54,350024400.0,1981
Atlanta Hawks,Dallas Mavericks,Atlanta Hawks,20,35,55,350283600.0,1981
Atlanta Hawks,Houston Rockets,Atlanta Hawks,20,36,56,350370000.0,1981
Atlanta Hawks,Atlanta Hawks,Golden State Warriors,21,36,57,350629200.0,1981
Atlanta Hawks,San Antonio Spurs,Atlanta Hawks,21,37,58,350802000.0,1981
Atlanta Hawks,Kansas City Kings,Atlanta Hawks,21,38,59,350888400.0,1981
Atlanta Hawks,Philadelphia 76ers,Atlanta Hawks,21,39,60,351061200.0,1981
Atlanta Hawks,Indiana Pacers,Atlanta Hawks,22,39,61,351320400.0,1981
Atlanta Hawks,Cleveland Cavaliers,Atlanta Hawks,23,39,62,351579600.0,1981
Atlanta Hawks,Chicago Bulls,Atlanta Hawks,24,39,63,351666000.0,1981
Atlanta Hawks,Atlanta Hawks,New York Knicks,24,40,64,351838800.0,1981
Atlanta Hawks,Atlanta Hawks,Boston Celtics,24,41,65,352098000.0,1981
Atlanta Hawks,Atlanta Hawks,Seattle Supersonics,25,41,66,352270800.0,1981
Atlanta Hawks,New York Knicks,Atlanta Hawks,26,41,67,352443600.0,1981
Atlanta Hawks,Milwaukee Bucks,Atlanta Hawks,26,42,68,352616400.0,1981
Atlanta Hawks,Atlanta Hawks,New Jersey Nets,27,42,69,352702800.0,1981
Atlanta Hawks,Atlanta Hawks,Houston Rockets,28,42,70,352789200.0,1981
Atlanta Hawks,Atlanta Hawks,Chicago Bulls,28,43,71,353048400.0,1981
Atlanta Hawks,Detroit Pistons,Atlanta Hawks,28,44,72,353134800.0,1981
Atlanta Hawks,Atlanta Hawks,Denver Nuggets,29,44,73,353307600.0,1981
Atlanta Hawks,Atlanta Hawks,Cleveland Cavaliers,29,45,74,353394000.0,1981
Atlanta Hawks,Cleveland Cavaliers,Atlanta Hawks,29,46,75,353653200.0,1981
Atlanta Hawks,Boston Celtics,Atlanta Hawks,30,46,76,353739600.0,1981
Atlanta Hawks,New Jersey Nets,Atlanta Hawks,30,47,77,353912400.0,1981
Atlanta Hawks,Washington Bullets,Atlanta Hawks,30,48,78,354085200.0,1981
