team,parent,history,prefix_1,prefix_2,url,secondary_color,tertiary_color,primary_color
Charlotte Bobcats,Charlotte Hornets,,bob,charlotte-bobcats,https://www.basketball-reference.com/teams/CHA/2014.html,#bc6a34,#a0a1a5,#032a5b
Charlotte Hornets (Original),Charlotte Hornets,,cha,charlotte-hornets,https://www.basketball-reference.com/teams/CHA/1988.html,#251272,#fc3f32,#01778c
Cleveland Rebels,deprecated,,,,,#192d52,#D8D8D8,#e49951
Denver Nuggets (Original),deprecated,,,,,#000000,#D8D8D8,#00008b
Detroit Falcons,deprecated,,,,,#ffb905,#e6e6e6,#ec1c24
Fort Wayne Pistons,Detroit Pistons,,,,,#181926,#b5b6b5,#ad2a40
Indianapolis Jets,deprecated,,,,,#c52105,#D8D8D8,#0f1a3a
Indianapolis Olympians,deprecated,,,,,#c52229,#D8D8D8,#172336
Kansas City Kings,Sacramento Kings,,kck,kansas-city-kings,https://www.basketball-reference.com/teams/KCK/1977.html,#cf331f,#D8D8D8,#045aaa
Kansas City-Omaha Kings,Sacramento Kings,,,,,#ff002e,#D8D8D8,#002a6f
Milwaukee Hawks,Atlanta Hawks,,,,,#f9b4cc,#D8D8D8,#e60102
Minneapolis Lakers,Los Angeles Lakers,,,,,#fece00,#D8D8D8,#6bace1
New Jersey Nets,Brooklyn Nets,,njn,new-jersey-nets,https://www.basketball-reference.com/teams/NJN/2012.html,#bf1345,#c6cfd4,#002960
New Orleans Hornets,New Orleans Pelicans,,noh,new-orleans-hornets,https://www.basketball-reference.com/teams/NOH/2003.html,#fdb927,#e6e6e6,#0190b0
New Orleans Jazz,Utah Jazz,,noj,new-orleans-jazz,https://www.basketball-reference.com/teams/NOJ/1977.html,#360149,#fbc60e,#017223
New York Nets,Brooklyn Nets,,nyn,new-york-nets,https://www.basketball-reference.com/teams/NYN/1977.html,#af160c,#D8D8D8,#00016c
Pittsburgh Ironmen,deprecated,,,,,#040304,#d9b103,#e5d17b
Philadelphia Warriors,Golden State Warriors,,,,,#e0e2ef,#e6e6e6,#162a9a
Providence Steamrollers,deprecated,,,,,#f0bd9f,#D8D8D8,#921e30
Rochester Royals,Sacramento Kings,,,,,#c1bfd2,#e6e6e6,#2b2660
San Diego Clippers,Los Angeles Clippers,,sdc,san-diego-clippers,https://www.basketball-reference.com/teams/SDC/1979.html,#eb3830,#D8D8D8,#273a89
San Diego Rockets,Houston Rockets,,,,,#194884,#fcd418,#046136
San Francisco Warriors,Golden State Warriors,,,,,#ffc325,#D8D8D8,#15659e
Seattle Supersonics,Oklahoma City Thunder,,sea,seattle-supersonics,https://www.basketball-reference.com/teams/SEA/2008.html,#FFC200,#e6e6e6,#00653A
Sheboygan R-- S----,deprecated,,,,,#f7d9d7,#e6e6e6,#d10501
St. Louis Bombers,deprecated,,,,,#e5cebc,#e6e6e6,#b2611c
St. Louis Hawks,Atlanta Hawks,,,,,#daadbc,#e6e6e6,#a32243
Syracuse Nationals,Philadelphia 76ers,,,,,#cc3300,#D8D8D8,#346699
Toronto Huskies,deprecated,,,,,#6976aa,#e6e6e6,#1d284e
Tri-Cities Blackhawks,Atlanta Hawks,,,,,#461d1d,#66615a,#10121e
Washington Bullets,Washington Wizards,,wsb,washington-bullets,https://www.basketball-reference.com/teams/WSB/1997.html,#0145ad,#D8D8D8,#c91239
Washington Capitols,deprecated,,,,,#000c00,#D8D8D8,#3b7c4a
Waterloo Hawks,deprecated,,,,,#0f3c70,#D8D8D8,#4d85c5
Vancouver Grizzlies,Memphis Grizzlies,,van,vancouver-grizzlies,https://www.basketball-reference.com/teams/VAN/2001.html,#c92133,#a7a6a6,#11b3ab
